,vendor_id,chain_id,geohash,primary_cuisine
295,45cc5e5d,c531ca2c,u6sc7,burgare
296,302ad854,,u6sc7,franskt
297,2414c35b,,u6scd,italienskt
298,0187f833,2615ed09,u6scd,thai
299,f61fc209,10e16d44,u6sc7,thai
300,e0cbd3ce,10e16d44,u6scd,thai
301,5e4acaa4,10e16d44,u6scd,thai
302,fa58879c,,u6scd,kafé
303,9d25c72f,,u6sc7,asiatiskt
305,d61e22f2,10e16d44,u6scd,asiatiskt
306,78d53ec8,,u6scd,asiatiskt
307,e99d865f,,u6sce,asiatiskt
308,bd08c5a3,85e29f20,u6sce,kafé
309,7b8bfc6d,85e29f20,u6sce,kafé
310,3b8c07da,,u6sce,kafé
311,b02b6cba,,u6sc3,kafé
312,2b2b276a,2a503425,u6sce,kafé
316,0d428a8b,e78f5c87,u6scm,kafé
319,08d8e7b0,392c19c2,u6scg,grekiskt
320,18f5066a,,u6sc6,gatukök
321,f9a69157,0497ac4a,u6scd,kebab
324,794e7305,,u6sc6,pizza
325,9341773e,,u6scb,pizza
326,e74aff30,cd7fa69d,u6sck,pizza
327,e226a37a,33463613,u6sce,pizza
328,259d64a0,,u6scs,pizza
329,d6c0996a,,u6scd,pizza
331,f6bcbc54,,u6scb,pizza
332,130b87e9,,u6scd,pizza
333,6ef1fc0f,,u6scd,pizza
334,fedede5d,,u6sc6,pizza
335,e6ff3ba1,d61a6418,u6sce,pizza
337,37169f58,,u6scd,sallad
339,f0fb8d7a,,u6sce,kafé
340,9d7caa6e,19907b43,u6sc9,sushi
344,3df0a4bf,,u6scd,indiskt
345,a4b40ebd,a0e4b774,u6scd,indiskt
346,501c282b,,u6sc8,indiskt
347,0866aa3a,12eea542,u6sc7,indiskt
348,c323fb22,81760535,u6scd,indiskt
351,76e10bb0,,u6sc8,burgare
354,73828858,c531ca2c,u6scf,burgare
355,7c2d1a3d,6de3a4f4,u6scb,burgare
356,6a7d495a,6de3a4f4,u6sc1,burgare
357,8ab57e7e,114db791,u6scd,burgare
358,447f1c82,6de3a4f4,u6scd,burgare
363,fc336b20,,u6sc9,pizza
364,c2c714f1,,u6scd,pizza
365,972a3ca3,,u6scw,italienskt
366,bbcd3fe8,be353224,u6sc9,mexikanskt
367,9eb55ae0,,u6scd,spanskt
368,14eb1065,90e035ba,u6sc7,amerikanskt
370,cf206308,,u6sc7,japanskt
372,3b567b82,896ea479,u6sc7,libanesiskt
375,8b0a4fba,3909e8f9,u6sce,smörgåsar
376,cc733dd0,7615f553,u6scd,vietnam-esiskt
380,b5076dc9,,u6sce,internationell
383,d9c12489,896ea479,u6scd,mellanöstern
384,53054eee,,u6sc3,unknown
393,f15b6833,,u6sch,sushi
409,d7650033,,u6sck,burgare
410,3b698cea,,u6sc2,svenskt
412,a6fafc08,,u6sc5,pizza
414,dedcb4d8,,u6sc9,sushi
415,5e436b76,,u6sc5,pizza
416,b1200c7f,92c8ea54,u6scm,pizza
417,880773da,,u6sc9,kött
418,a3f3ea3f,,u6sc8,kinesiskt
419,5ac70404,8e758177,u6sc4,asiatiskt
420,4f1be65a,,u6scc,libanesiskt
421,c464055d,,u6sc9,thai
422,352125b8,,u6sc0,asiatiskt
423,73cb5965,,u6sc9,grekiskt
424,dda3b778,,u6sc3,indiskt
425,daaf4a19,3909e8f9,u6sc6,smörgåsar
426,516bfd8b,,u6sct,thai
430,a4746ac2,,u6scd,sallad
433,87744f9a,15e4e0dc,u6sce,sushi
436,019bfe8b,,u6sc7,spanskt
437,00c7941d,,u6scd,kinesiskt
440,0163fd9f,,u6sce,kebab
441,a93684e0,,u6sce,sushi
442,d5deb4cd,,u6sc8,thai
443,6baf8c59,0b9539c1,u6sc8,thai
444,f7a2952d,,u6sce,thai
446,a8c9aefa,,u6sc5,asiatiskt
451,f70e9976,,u6scb,asiatiskt
452,c8002797,,u6scd,asiatiskt
454,0776ac81,,u6sc3,asiatiskt
455,ef959032,e78f5c87,u6sc9,kafé
456,3ef70b55,2a503425,u6scd,kafé
457,81bff897,25e2afdb,u6scm,kafé
459,c4547c2c,e78f5c87,u6sc4,kafé
462,d0f7e369,,u6sc7,grekiskt
464,22aeae26,,u6sc3,gatukök
466,8f7c731c,,u6sc4,kebab
470,c45c24d1,,u6sc9,pizza
471,3c28e226,6b19e300,u6scb,pizza
472,6b0aec8c,,u6sc4,pizza
473,03546706,,u6sc8,pizza
477,ddb5a582,,u6sce,pizza
478,33a16fa2,,u6scd,pizza
479,a0965339,2f96b3b3,u6scd,pizza
480,1f8370da,2f73ccd2,u6scd,pizza
481,1aafa6c0,,u6sc7,pizza
482,4a793e0c,,u6scd,pizza
483,77148907,030c3a9e,u6sc7,pizza
484,a9f8b6d2,,u6sc2,pizza
489,213693fa,a94f6c62,u6sc6,burgare
490,8d6147ac,8f81cdec,u6sce,sallad
491,489eceae,,u6scd,sallad
492,2bde045e,,u6sck,sushi
493,d12dfff6,19907b43,u6sc9,sushi
495,16500efe,,u6scd,hälsosamt
496,8a378794,,u6scd,franskt
497,79329ca5,b8ac5339,u6scd,indiskt
498,070dc6e2,,u6scd,indiskt
499,7053cfb6,2abe5ab4,u6sc7,indiskt
500,9519e44e,6ee4a2c7,u6sc7,indiskt
501,24f8e2e8,3ff38992,u6scd,indiskt
502,0d339d6b,2abe5ab4,u6scd,indiskt
503,0fd96268,,u6sch,kebab
504,15d30a61,c531ca2c,u6scd,burgare
505,00a1d123,,u6sc2,burgare
509,8a229d73,34223d11,u6scm,burgare
510,9d103f3d,316c4884,u6sck,burgare
514,ec56e101,d747928d,u6sc5,kyckling
515,1286feb4,,u6scn,pizza
516,ed0b9465,,u6scb,italienskt
518,9c9fa5ed,,u6sc7,internationell
519,591d7cee,19039e00,u6sce,mexikanskt
520,bd86dcac,8a8338fd,u6scd,mexikanskt
521,8a5efb51,be353224,u6sc7,mexikanskt
522,8ea04cfc,be353224,u6scm,mexikanskt
525,68663bfc,,u6sc2,turkiskt
526,831feab5,639cede8,u6sc7,amerikanskt
527,d28590a7,,u6scm,amerikanskt
528,c04ce16a,bf4aaa49,u6sce,asiatiskt
529,b69ac2ca,ab1e7efc,u6sc7,sushi
530,47c2efa5,,u6sc7,japanskt
531,ab464344,85f4c6a3,u6sce,japanskt
532,355d3ac1,,u6scd,japanskt
533,ed5d2928,,u6scd,japanskt
536,91b8f60c,,u6scd,mellanöstern
537,fc1cbc34,3d5df1ec,u6sc7,unknown
538,be39d86e,d9a864aa,u6sce,glass
539,47607957,,u6sce,smörgåsar
546,bffb9f1d,941c42fd,u6sc6,mellanöstern
547,7f786982,9d7148f8,u6scd,mellanöstern
548,a725a40b,,u6scd,mellanöstern
576,64a3af0f,,u6sc1,pizza
577,9a188759,,u6sc4,pizza
578,da373927,,u6sc1,indiskt
579,8beb814b,,u6scn,pizza
580,f6baa3af,,u6scb,italienskt
581,0d73f44d,3909e8f9,u6sck,smörgåsar
583,43a6d5ef,,u6sce,sushi
587,cee9053a,,u6sc7,unknown
588,e1e07ddd,,u6scd,afrikanskt
591,7f9930c0,,u6scd,italienskt
592,494bfaa0,,u6scd,svenskt
593,823e7782,,u6sc7,svenskt
595,e0ef8f63,,u6sce,smörgåsar
597,87c845e1,,u6sc7,internationell
598,a388186e,890eb843,u6sc7,burgare
599,027e629d,,u6sc7,gatukök
603,c94a6599,,u6sc8,indiskt
604,4b9102c2,8e758177,u6sc5,asiatiskt
613,fe1da6b7,323d05f2,u6sct,sushi
618,a6983b8e,10e16d44,u6sc9,thai
619,d2ae5557,,u6sc8,thai
620,0833ba4d,3a318018,u6sce,asiatiskt
621,9a803921,bf4aaa49,u6sce,asiatiskt
622,4ebe7c88,,u6scd,asiatiskt
623,9d1ebe88,,u6sc3,asiatiskt
625,f1b9ca35,e78f5c87,u6sck,kafé
626,46d7d5fa,e78f5c87,u6scd,kafé
627,89e55471,,u6sck,kafé
628,f6130314,6df605aa,u6sc7,kafé
629,1f5fec28,359d7e01,u6sc9,kafé
630,ae06e0c6,0fa26baa,u6scd,kafé
631,079fedc2,625099f3,u6sck,kafé
632,150804bd,,u6scd,kafé
634,1b82ac7d,625099f3,u6sc9,kafé
635,b0ed57e7,25e2afdb,u6sce,kafé
640,7ab2e93a,,u6sc7,grekiskt
641,805b212e,392c19c2,u6sce,grekiskt
645,fd844d51,,u6sc9,pizza
647,d10ba815,,u6sce,pizza
648,0c9fe693,,u6scs,pizza
649,0cc4f607,,u6scs,pizza
650,f36053a3,,u6sc9,pizza
651,5b727018,2f73ccd2,u6sc8,pizza
655,661c1842,,u6sck,pizza
656,38f5b6c4,,u6sc5,pizza
658,e7422575,e48159a0,u6sce,pizza
659,3e97ef2f,,u6scd,svenskt
660,d413bf77,,u6scd,sallad
661,57fd36f3,,u6sc3,sallad
663,767ce4c7,,u6sc6,kött
665,8b5a40b9,,u6sc9,sushi
666,7fab4221,,u6sc1,sushi
668,3f3e13c5,,u6sce,bageri
669,c3e88531,,u6sce,indiskt
670,efdace7a,,u6sch,indiskt
671,b6689160,,u6sc7,indiskt
672,0eaa70e8,,u6sce,indiskt
674,98e0e184,,u6sc9,gatukök
675,f0d84faa,92cc5d5d,u6sc9,burgare
676,f14d1036,,u6sce,burgare
677,74bb1133,6de3a4f4,u6sc8,burgare
678,097ddd71,3aa4011e,u6sc9,burgare
680,60b70303,8f29ef7e,u6sc7,burgare
681,8a94e6fc,b7f5ae96,u6scd,burgare
682,5bae6f92,a94f6c62,u6sc7,burgare
683,7155a206,316c4884,u6scd,burgare
685,8d1772a0,8f29ef7e,u6sc6,burgare
689,ab8ab980,,u6sce,hälsosamt
691,262f6435,,u6sc9,pizza
692,20fd2c36,eb83a9bb,u6scd,pizza
693,7e5c760b,,u6sc8,italienskt
694,1e18404c,153f0cec,u6scd,italienskt
695,697e2443,,u6sc8,italienskt
697,64ed5b25,,u6sc7,italienskt
698,56e78947,765f32c2,u6sce,italienskt
699,b6b158ee,be353224,u6sce,mexikanskt
701,9490525c,86bd2f33,u6sc2,mexikanskt
702,5eda4789,ba58a01f,u6sce,mexikanskt
703,9c98e944,,u6sc2,svenskt
704,800efc75,,u6sc7,svenskt
705,ac72cd17,639cede8,u6sce,amerikanskt
706,4344a2a3,22894b93,u6sce,amerikanskt
707,14c83015,,u6scs,amerikanskt
708,a2dfc7ba,68e07898,u6sc7,asiatiskt
709,3dadf39c,ab1e7efc,u6sce,sushi
710,ac89c61d,,u6sc3,japanskt
711,2f3c5d81,,u6sce,japanskt
712,4ddb1a36,,u6sce,japanskt
713,d19881cc,,u6sce,japanskt
715,af91e38e,,u6sc7,libanesiskt
716,e7edd690,,u6scd,libanesiskt
717,ed090e77,d9a864aa,u6scs,unknown
719,2717aa0c,42d42a83,u6scd,kafé
722,006d7f5b,7615f553,u6sce,vietnam-esiskt
729,eb811360,,u6sc6,internationell
730,6eb18eba,,u6scb,internationell
731,60c25b53,,u6sce,medelhav
732,29c9ef4e,594a20e4,u6scd,mellanöstern
733,db766a92,,u6sc6,mellanöstern
735,2a6ee60c,f7fd0bd7,u6sc5,asiatiskt
754,7795e7d1,,u6sc8,italienskt
760,6ca5788f,,u6scb,mellanöstern
767,b0b37aae,,u6sc4,pizza
768,37efa08a,,u6sc9,sushi
769,3ddf3e6c,,u6sck,indiskt
770,39a0946c,,u6sc2,amerikanskt
771,fc83647c,,u6scb,kafé
772,c893fcfd,,u6scd,pizza
773,fa7e674e,,u6scd,thai
776,22c8a60c,,u6scd,sushi
778,aa15336a,,u6scd,indiskt
783,290d1ab8,,u6sc6,japanskt
786,3de7a849,,u6sc7,asiatiskt
787,fce7b9e0,,u6sc7,italienskt
788,e674a899,,u6sc3,thai
789,8ed95145,,u6scd,sallad
790,cf53dcad,,u6sce,italienskt
791,6e88119b,,u6sc7,japanskt
792,13deb45b,,u6sc7,libanesiskt
793,6041ebd3,,u6scd,unknown
794,88975f71,3909e8f9,u6sce,smörgåsar
799,3ac12b9a,896ea479,u6sc9,libanesiskt
801,1f826560,323d05f2,u6scs,sushi
804,472842cc,1cf45515,u6sc9,gatukök
806,4d63a425,216fb1e5,u6sc1,thai
807,7e583ee1,10e16d44,u6sc6,thai
808,74bb47f5,,u6sce,thai
809,31fa9cc4,,u6sc7,thai
810,c1cc82d9,8e758177,u6sc9,asiatiskt
811,a786431a,bf4aaa49,u6sce,asiatiskt
812,a9bd810f,,u6sc8,asiatiskt
813,1738f464,,u6scd,asiatiskt
814,fb428e3d,,u6sc3,asiatiskt
815,1a9c0c9a,,u6scd,asiatiskt
816,48a8ee2d,52fe2bdb,u6sce,asiatiskt
817,2639c183,88adece2,u6sce,asiatiskt
818,7e9c5ebb,d73b2f30,u6scd,asiatiskt
819,f0d2bc7b,,u6sce,kafé
820,f48523c3,e78f5c87,u6sc8,kafé
821,d8fc0241,25e2afdb,u6sce,kafé
822,e8adbd11,,u6sc7,kafé
823,5389a9c9,,u6sc6,kafé
824,29b3fec3,728efdf4,u6scd,kafé
825,af14b9c3,c4c31da3,u6scd,kafé
826,cc33b4f5,,u6scd,kafé
827,87287573,,u6scd,kafé
829,7cf2363c,,u6sck,grekiskt
831,cb9a7bae,1cf45515,u6scd,gatukök
832,d99ad61e,,u6scd,gatukök
833,046516e5,,u6sc4,gatukök
834,8a05794c,,u6sc7,kebab
835,f0ba11e5,,u6scd,kebab
837,529772a0,,u6sc2,pizza
838,fd05d06e,,u6sc7,pizza
839,f1bad43c,,u6scb,pizza
840,d1122994,,u6sc5,pizza
841,cde28a5e,,u6sce,pizza
842,807a6764,,u6scw,pizza
843,90a12de6,,u6sce,pizza
844,788e4397,,u6sc7,pizza
845,df2dbec7,,u6sck,pizza
848,878ea56f,,u6sc8,pizza
849,7fb61536,2f73ccd2,u6sc7,pizza
852,62396f44,8f81cdec,u6scd,sallad
853,52c7ee0b,,u6sc7,sallad
854,6328ed2f,,u6sc7,vegetariskt
855,1896ce85,8df1ed8f,u6sce,kött
857,68fef454,,u6sc9,sushi
858,0f0ace59,160f713b,u6sce,sushi
859,06f543a1,77b5044b,u6sc6,sushi
860,6fa831cc,,u6sc7,sushi
861,14d2b0c7,,u6sck,sushi
863,4d04880e,,u6scd,sushi
865,4f48c7cf,19907b43,u6sc8,sushi
866,9ec4307b,90e5a714,u6sc7,indiskt
867,9d9f606c,,u6sc8,indiskt
868,d58f624c,,u6scc,indiskt
869,2fa73748,,u6sc8,indiskt
870,d6871725,,u6sc7,indiskt
871,db303e0e,,u6sc9,indiskt
873,1fb3a77a,2abe5ab4,u6scd,indiskt
875,918f5a1a,5e50109c,u6sc5,burgare
876,a000f7db,5e50109c,u6sc7,burgare
878,fb045d82,3aa4011e,u6sct,burgare
879,4faa3a84,3aa4011e,u6sce,burgare
882,1085c688,c404c4ad,u6sce,burgare
883,7cb955aa,316c4884,u6sc6,burgare
884,d90232b8,a94f6c62,u6sce,burgare
886,8326f193,bf1ace13,u6sc3,burgare
887,452fa8b0,34223d11,u6sc2,burgare
891,740e1d61,,u6sc2,svenskt
892,3aa65107,,u6scd,medelhav
895,448d43a3,,u6scd,italienskt
896,788290bb,,u6scd,italienskt
897,54c2d9e4,66d90aec,u6scc,italienskt
898,87c77fcc,,u6scd,italienskt
899,83c378d3,,u6sc9,italienskt
900,0f0b97f8,,u6sc9,italienskt
901,0d739d3c,,u6sc3,italienskt
902,c62831c5,,u6scd,italienskt
904,a8a1aaa8,,u6sc7,internationell
905,01813401,,u6scd,unknown
906,335a2cff,,u6sc6,mexikanskt
908,538832c4,,u6sce,svenskt
909,ca594c84,,u6sc9,svenskt
911,08110969,,u6sce,svenskt
912,3a9b60df,1363a491,u6sc7,turkiskt
913,c57f8142,,u6scd,amerikanskt
915,26bb0c19,,u6sc6,asiatiskt
916,5dff1181,,u6sc7,kinesiskt
918,aee52825,ab1e7efc,u6sc5,sushi
922,b29fa5da,,u6sce,japanskt
924,bf906487,,u6scd,japanskt
925,f71860cc,896ea479,u6sce,libanesiskt
926,373dcd40,,u6sc6,unknown
927,9801ecae,,u6sc7,brasilianskt
928,787b89a7,3d5df1ec,u6sc2,unknown
931,30738de3,61471888,u6scd,vegetariskt
938,83bd0878,896ea479,u6sce,mellanöstern
939,36ce9b33,,u6scd,mellanöstern
940,44468f3c,6215901d,u6sce,mellanöstern
952,4dc46e0f,,u6scq,pizza
962,b8039916,,u6sc8,svenskt
964,b8635131,3909e8f9,u6sc9,smörgåsar
971,263eadb3,,u6scb,mellanöstern
975,a2b382e7,,u6sc7,falafel
982,15949bdd,,u6scb,sushi
983,28e41ee7,,u6scs,svenskt
984,a1dd6f03,,u6scb,asiatiskt
985,69660b24,,u6sc5,pizza
988,a6726bd3,,u6sc2,italienskt
989,ac7cf4f1,,u6sc7,spanskt
1001,7316d8c1,98355593,u6scd,svenskt
1003,ed97abad,,u6sce,asiatiskt
1007,e9e5f75a,,u6sc7,pizza
1008,48dff2a2,,u6sc6,pizza
1009,0efdb8fb,d850b1af,u6scm,internationell
1010,49eb75fb,,u6sc8,bageri
1011,d5d88459,,u6sc8,indiskt
1012,a6f83021,3909e8f9,u6sc1,smörgåsar
1013,47678f71,,u6sce,vegetariskt
1015,aabc6959,,u6sc3,mellanöstern
1016,bd13c5d4,a2a3b6b2,u6scg,gatukök
1017,bea4b318,4d9645c2,u6sc2,burgare
1018,2c64fd63,86bd2f33,u6sc5,mexikanskt
1022,6a191030,,u6sc0,pizza
1032,181c14d2,,u6sc5,libanesiskt
1035,7f617a7f,,u6sc2,gatukök
1040,ebd79a87,25e2afdb,u6sc5,kafé
1041,a99b60b5,90e035ba,u6sc6,amerikanskt
1042,6245399c,,u6sc9,asiatiskt
1043,5df87849,,u6sc8,italienskt
1048,992920f5,,u6sc3,thai
1049,f1c34fca,,u6scd,thai
1050,acfe7464,a254f4db,u6scd,thai
1051,4790e97d,,u6sc5,sushi
1052,6a0704fa,a25fcd5e,u6scd,thai
1053,cb1fd5a1,,u6sce,asiatiskt
1054,e8a85159,d339e1a1,u6scd,asiatiskt
1055,65c41b96,,u6sc7,asiatiskt
1056,573a794a,,u6scd,asiatiskt
1057,b6084ecd,bf4aaa49,u6sc7,asiatiskt
1058,56b39b15,68303387,u6scd,asiatiskt
1059,fbfbdf46,,u6sce,asiatiskt
1060,fd0a588b,,u6sc7,asiatiskt
1063,8753e195,86b81e8c,u6sc3,sushi
1065,96334852,,u6scd,kafé
1066,aed7c946,e78f5c87,u6scd,kafé
1067,32bb8552,e78f5c87,u6sc5,kafé
1068,69251fb9,2a503425,u6scb,kafé
1069,8fa14efc,,u6sce,kafé
1070,7e60cc66,c4c31da3,u6scd,kafé
1071,f22aa9bf,2a503425,u6sc7,kafé
1072,c5d0f000,c4c31da3,u6sc7,kafé
1073,7a0571db,2a503425,u6scd,kafé
1074,bc57af79,,u6sce,kafé
1077,03f9d5ad,25e2afdb,u6sce,kafé
1079,6fc21120,625099f3,u6sc7,kafé
1083,233d311e,,u6sce,pizza
1084,233e6e38,,u6sc3,pizza
1085,2adc6845,,u6scd,pizza
1086,8c8689b7,,u6sce,pizza
1087,7282de57,45476d3e,u6sck,pizza
1088,4b8c71cf,,u6sc6,pizza
1089,afd216d7,,u6sc2,pizza
1090,77f17a81,e7f94dc6,u6sc3,pizza
1093,0cd2f379,,u6sc1,pizza
1095,3a491f7a,,u6sc6,pizza
1096,3622386f,,u6sce,pizza
1098,3da42df9,0ec8786d,u6sc6,pizza
1099,a5c6d66c,5516e3ea,u6sc6,pizza
1100,b7177c59,,u6sc3,pizza
1103,2ebe1498,,u6sc1,pizza
1105,fc16158e,,u6scd,pizza
1106,5a78afa7,114db791,u6scc,burgare
1107,61f89c84,2f9b8678,u6sce,sallad
1109,c15256ed,122056ee,u6scd,sallad
1110,8145b7aa,122056ee,u6sce,sallad
1112,704df2f9,19907b43,u6sce,sushi
1115,01c2df1d,19907b43,u6scf,sushi
1116,4809edaa,,u6sct,sushi
1117,b66deac4,90926a02,u6sc9,sushi
1120,80c4e3ce,c4c31da3,u6sc7,bageri
1122,61f11b55,ac7ed999,u6sc7,indiskt
1123,d19d192c,,u6scd,indiskt
1124,5098106b,,u6scd,indiskt
1125,950049df,,u6sc7,afrikanskt
1129,e2421942,3aa4011e,u6sce,burgare
1130,396cee6e,3aa4011e,u6scd,burgare
1135,aed5d331,3c254039,u6sc4,burgare
1136,0ecfc452,316c4884,u6sc9,burgare
1137,be0d0a9f,a94f6c62,u6sck,burgare
1143,43c0017e,a94f6c62,u6sc7,burgare
1146,195f7550,d747928d,u6scs,kyckling
1147,af2025e9,d8712d12,u6scd,pizza
1148,4cffa75e,,u6sce,italienskt
1149,04be0dcc,,u6scd,italienskt
1150,b6f87ffb,,u6sce,italienskt
1151,acd47208,,u6scb,italienskt
1153,4504f3b8,,u6sc6,italienskt
1154,ce3870fa,,u6sch,italienskt
1155,ddd5a926,,u6scd,italienskt
1157,5d0a6f43,be353224,u6sc5,mexikanskt
1158,6a596bf7,6215901d,u6sc6,mellanöstern
1159,b7b30dac,,u6sc7,spanskt
1161,f3da49dd,,u6sce,svenskt
1162,2f48d036,,u6scd,svenskt
1163,36a39cdd,98355593,u6scd,svenskt
1164,6f4f13e3,,u6scd,svenskt
1165,46fd9825,98355593,u6sc6,svenskt
1169,02eba079,06699a53,u6scd,amerikanskt
1172,23e214ed,bb84c51e,u6scc,japanskt
1173,1182143a,05906cad,u6scd,japanskt
1174,65ece1de,,u6scd,japanskt
1175,395ae0e5,cd1e9dc5,u6scd,libanesiskt
1176,1cc2c08f,,u6scd,libanesiskt
1179,1153389b,d9a864aa,u6scd,unknown
1180,41bfb8fe,3909e8f9,u6sce,smörgåsar
